id;amount;is_paid;paid_at;expiry_date
1;68944;false;2022-11-08T21:14:15;2022-11-08T17:47:39
2;11629;false;2022-11-08T13:25:40;2022-11-08T22:03:55
3;51758;false;2022-11-08T14:55:56;2022-11-08T03:56:43
4;17853;true;2022-11-08T07:14:44;2022-11-08T06:24:17
5;27706;false;2022-11-08T09:29:06;2022-11-08T21:28:54
6;46030;false;2022-11-08T08:17:24;2022-11-08T21:27:54
7;68461;false;2022-11-08T08:00:52;2022-11-08T10:41:25
8;27268;true;2022-11-08T09:10:53;2022-11-08T03:20:31
9;4260;false;2022-11-08T07:05:38;2022-11-08T04:48:22
10;37748;true;2022-11-08T14:35:02;2022-11-08T07:11:56
