id;period_name;create_at;amount;dates_of_period
1;Wooden;2022-11-08T05:58:03;27151;HalfYear
2;Avon Chief Krone;2022-11-09T01:17:44;57212;Year
3;stable plum Bedfordshire;2022-11-08T13:06:49;61383;Month
4;Unions;2022-11-09T00:59:12;98946;Year
5;Direct array Account;2022-11-08T19:10:39;57068;Week
6;program hack;2022-11-08T13:49:24;4515;Day
7;synergistic drive;2022-11-09T00:15:39;50294;HalfYear
8;mindshare;2022-11-08T16:51:24;6073;HalfYear
9;Consultant;2022-11-08T01:35:11;38017;Month
10;Burg;2022-11-08T21:27:58;8468;HalfYear
